annotationId,page,y,x,commentId,rectangleId,comment_text
4beb2b0e-7892-43ed-b17a-e7bd5778b8c7,116,21.45034202,100.5910907,debb964f-35b4-4ad8-a1b7-c06c1fcdbbf1,3d822403-4a82-49e6-b5a0-237cd3147e74,this is comment for performance test on we can see the comments later  for large files for second perf test large  2
2ddb145a-edf2-466f-99d4-efc98049c151,30,211.9614323,124.9404011,2ad94211-971d-419f-9ec7-9e2b35425a72,c79cd419-f150-4a7a-92a8-779d9df9f4e3,this is comment for performance test on we can see the comments later  for large files for second perf test large  3
26aa3495-2a2f-40ad-867c-9866822a47aa,67,12.77795921,215.9121295,42d128e9-f879-45fe-a3a1-531aa4e9e0bc,aaecf577-bfa6-4dc7-a596-6edb62d08880,this is comment for performance test on we can see the comments later  for large files for second perf test large  4
6e5ba81b-61bd-4e08-85b7-b8aafc3041f3,47,270.3836413,167.0436548,32119e49-ca7f-4939-90a1-b61d23332256,e4301465-190d-43c8-b10a-e2413f573d41,this is comment for performance test on we can see the comments later  for large files for second perf test large  5
a127ffda-a235-4afe-847e-f125e18af296,33,109.3897864,144.8022784,492b2f3e-77f7-480f-9e0c-bdcfdaf2fe9b,a7056c40-08c0-4d7c-88fe-b596ed55b9a4,this is comment for performance test on we can see the comments later  for large files for second perf test large  6
5e2f943a-359f-4491-8ff0-dd33424b6430,130,181.261267,121.4887601,c26052db-fa11-4313-8e89-f440d7b09c71,3fb18f61-34f4-4f43-82be-e98a95c7e04f,this is comment for performance test on we can see the comments later  for large files for second perf test large  7
7cd379da-2d52-4555-9898-5a6f3cfa5ac9,54,243.0706836,200.1612718,91423549-01d3-4eb3-8286-fc36d94825e1,e8380733-6508-429f-b3f7-932b300cba58,this is comment for performance test on we can see the comments later  for large files for second perf test large  8
a7920ff3-7e55-47fc-be4c-8215a501cad4,65,192.013435,262.3722156,21d8c469-ab24-41cb-83b4-4259778d781d,f48dc6b3-bd02-497a-a7be-2a0a55dbc636,this is comment for performance test on we can see the comments later  for large files for second perf test large  9
f50a41d4-c0d5-46c6-9276-55a75d7d7e61,183,325.7215082,140.9465664,003fd421-e2db-4187-8c1b-fc9972665fe7,41a2a947-42d0-4266-9029-d99a8a5938b3,this is comment for performance test on we can see the comments later  for large files for second perf test large  10
3631e1a6-0370-429a-b4e6-33cf5e71d8bb,91,164.2840217,150.420012,b7dca573-eec9-4b02-a190-a7beede138fa,0038b68f-cf99-411f-b04e-aa82a5feb349,this is comment for performance test on we can see the comments later  for large files for second perf test large  11
28c54f57-c0ab-4898-87d4-2133675a3ad9,22,458.0099379,100.6875092,1f96a37b-3417-4f33-8a41-b700251eb7cf,eea6b679-96af-4544-b7ac-4f5d0906e18f,this is comment for performance test on we can see the comments later  for large files for second perf test large  12
2ca554df-bcfa-4698-ad40-a6e224425170,76,274.7774158,298.0106266,c3cff4e4-cba6-4ee9-bbb0-efef4e3c2c29,c2be2c9f-42cd-4742-946c-d0e509f9f7c4,this is comment for performance test on we can see the comments later  for large files for second perf test large  13
a891bb6f-b875-4797-a531-aa84aaa6c370,132,446.5160316,202.2362939,0a2e6733-0e2a-4705-b88d-fee66869e9a1,0abdb7dc-27de-46bb-829c-a3a8b17380b4,this is comment for performance test on we can see the comments later  for large files for second perf test large  14
8389198e-61f9-4cdb-a3dd-3b73d6a3e2eb,187,65.13005333,220.673683,44f1def2-3760-4d51-80d4-d6000089b6e3,f8793fd6-215d-4a4e-a9e8-ede03edcde7f,this is comment for performance test on we can see the comments later  for large files for second perf test large  15
c3900bf0-90ee-470b-9562-b514eb4ae7ae,59,349.3826297,105.0039205,750c08d9-edac-4a33-aed0-07d76fdea85c,ec8e8258-3fbf-423b-827f-f5f025846892,this is comment for performance test on we can see the comments later  for large files for second perf test large  16
8f53055d-44ba-4cc8-b704-3cc70c75a1d0,129,271.2057571,215.2436978,d6297593-7505-4c71-b800-269f557b8e50,cfa8b8b5-4679-4bdf-8d49-98836c0e2c6b,this is comment for performance test on we can see the comments later  for large files for second perf test large  17
2f64f601-25f4-4252-8cae-b9c7fb07a1ff,183,244.5429205,256.0126727,771a68d4-c8c1-4337-add1-824be0242df4,f8c66801-34b0-43f6-a762-934f5104555a,this is comment for performance test on we can see the comments later  for large files for second perf test large  18
384ec540-ab24-4215-84df-c1d19c06fa3f,124,125.8001045,97.23233598,00578fe9-8c11-46ba-9ffc-8f2887ba2e02,2d60cdec-68ff-4b40-8a9b-0660ada14f76,this is comment for performance test on we can see the comments later  for large files for second perf test large  19
b32fb64a-5ad5-4c05-9d91-2a540818372f,153,495.1959216,193.6278588,4ba8f20f-7e16-4af9-b187-5b46f509d54d,57c05aa6-3e60-4f9c-aadd-e227745a29c0,this is comment for performance test on we can see the comments later  for large files for second perf test large  20
50fd4a89-da29-4217-b7dd-b7d97017ab5e,186,284.0786128,117.7340108,be9087d7-1ce1-4c56-bba1-d08b490f5194,e06d6d01-7369-4bd2-a563-0ad8eeb4b2e4,this is comment for performance test on we can see the comments later  for large files for second perf test large  21
4db37d99-4bc3-494c-9363-37feec7c6920,16,463.1061691,225.2904555,da7f850e-d7ee-4c15-9fe8-799fdae1ccee,cf5ff351-59a4-4917-bfc9-37c8555c03ac,this is comment for performance test on we can see the comments later  for large files for second perf test large  22
6f818719-c37e-43c0-a3f4-e870312f7e93,104,246.7682272,265.9351581,85f89c22-92f0-4e6f-817b-6baf61c6fc26,2eec7ab5-39e2-4d9d-bb18-31effc14329c,this is comment for performance test on we can see the comments later  for large files for second perf test large  23
d662dc8a-5cdb-458e-ae35-5ed22ef88825,158,341.2224306,49.50241563,b1447d92-e5ed-4550-86f8-4673c19c872c,8197401a-f6b7-4361-91cb-9126c9b96ef7,this is comment for performance test on we can see the comments later  for large files for second perf test large  24
333caffa-d5f6-44cf-9779-87df8e8a2839,99,4.222177955,276.2564417,944afdd8-06c8-43a8-aa0c-b201f1831637,1f3c70e4-a4b5-42bd-b671-c543db400ca4,this is comment for performance test on we can see the comments later  for large files for second perf test large  25
b98ecf4e-9021-4fee-b6cb-066894585fec,116,78.68694501,13.3225983,f12d9949-65ec-4675-9f87-888d3a5f8ec6,91b8fee0-1f19-4a03-98eb-31afb9a60289,this is comment for performance test on we can see the comments later  for large files for second perf test large  26
1af8631b-ad51-421a-99a8-8dc35e41aede,110,345.4732088,230.0811942,92ffc9c5-2217-4104-9269-75fc9ba473d3,f324a8f5-7f1b-401e-aa2c-7eac84e1dc54,this is comment for performance test on we can see the comments later  for large files for second perf test large  27
88fcde76-267f-4767-a3ca-1bfab466e347,40,0.123146579,74.38230688,1831196c-e552-42be-be2c-1f577fc409e2,c5ab61c7-ad39-4957-97bf-8a901b99d0c5,this is comment for performance test on we can see the comments later  for large files for second perf test large  28
1b67af2e-9c2d-4c68-81cd-763d7367554a,111,144.2052919,278.236562,e47a6a58-c66c-48df-87c1-746c37982358,4a3b176a-d437-4e6b-a7be-0bd462950027,this is comment for performance test on we can see the comments later  for large files for second perf test large  29
724416e5-53f7-419a-b111-696059cd03d9,196,259.6661744,119.654784,09086121-9548-48bc-afce-6572c25b4845,23bb843f-a779-4374-a43c-bdee25d17793,this is comment for performance test on we can see the comments later  for large files for second perf test large  30
